,Date,Adj Close,Close,High,Low,Open,Volume,DateOrdinal
1600,2000-01-01,90.37762451,90.39900208,90.9980011,88.52899933,90.47799683,289680000,730120
1601,2000-01-01,91.33438873,91.35600281,91.65100098,88.93399811,89.59899902,296507000,730120
1602,2000-01-01,94.60761261,94.62999725,94.86199951,91.59899902,92.47200012,417735000,730120
1603,2000-01-01,94.33667755,94.35900116,95.81900024,94.10299683,94.91000366,323952000,730120
1604,2000-01-01,92.45711517,92.47899628,94.73999786,91.80599976,94.3690033,359691000,730120
1605,2000-01-01,94.75758362,94.77999878,95.19999695,93.44000244,93.75,318764000,730120
1606,2000-01-01,95.36344147,95.38600159,95.40000153,93.18000031,93.59899902,328946000,730120
1607,2000-01-01,94.92754364,94.94999695,96.01999664,93.24900055,95.45899963,548648000,730120
1608,2000-01-01,103.7744522,103.7990036,106.3199997,101.5199966,102.0279999,835065000,730120
1609,2000-01-01,106.4438171,106.4690018,106.4749985,103.0,104.4489975,429494000,730120
1610,2000-01-01,113.8740616,113.901001,114.939003,109.8830032,110.2440033,652728000,730120
1611,2000-01-01,114.7978363,114.8249969,115.4919968,110.901001,113.0500031,557442000,730120
1612,2000-01-01,110.4738541,110.5,115.8190002,109.663002,114.6500015,487350000,730120
1613,2000-01-01,109.6070709,109.6330032,112.7170029,106.9400024,112.5199966,613263000,730120
1614,2024-03-06,114.9728012,115.0,115.0,112.0029984,113.6210022,438392000,738951
1615,2024-04-06,116.4094543,116.4369965,116.5999985,114.0449982,115.7160034,403324000,738982
